id,resource,action,default_scope
perm-policy-create,POLICY,CREATE,OWN
perm-policy-read,POLICY,READ,OWN
perm-policy-update,POLICY,UPDATE,OWN
perm-policy-approve,POLICY,APPROVE,OWN
perm-policy-reject,POLICY,REJECT,OWN
perm-claim-create,CLAIM,CREATE,OWN
perm-claim-read,CLAIM,READ,OWN
perm-claim-update,CLAIM,UPDATE,OWN
perm-claim-approve,CLAIM,APPROVE,OWN
perm-claim-reject,CLAIM,REJECT,OWN
perm-report-read,REPORT,READ,OWN
perm-report-export,REPORT,EXPORT,OWN
perm-user-create,USER,CREATE,OWN
perm-user-read,USER,READ,OWN
perm-user-update,USER,UPDATE,OWN
perm-user-delete,USER,DELETE,OWN
perm-user-approve,USER,APPROVE,OWN
perm-user-reject,USER,REJECT,OWN
perm-branch-create,BRANCH,CREATE,OWN
perm-branch-read,BRANCH,READ,OWN
perm-branch-update,BRANCH,UPDATE,OWN
perm-branch-delete,BRANCH,DELETE,OWN
perm-tenant-read,TENANT,READ,OWN
perm-tenant-update,TENANT,UPDATE,OWN
perm-tenant-configure,TENANT,CONFIGURE,OWN
perm-permission-read,PERMISSION,READ,OWN
perm-permission-configure,PERMISSION,CONFIGURE,OWN
perm-session-read,SESSION,READ,OWN
perm-session-delete,SESSION,DELETE,OWN
perm-audit-read,AUDIT,READ,OWN
perm-audit-export,AUDIT,EXPORT,OWN
