id,role_id,permission_id,granted_scope
rp-tenant-admin-policy-read,role-tenant-admin,perm-policy-read,ALL
rp-tenant-admin-claim-read,role-tenant-admin,perm-claim-read,ALL
rp-tenant-admin-report-read,role-tenant-admin,perm-report-read,ALL
rp-tenant-admin-report-export,role-tenant-admin,perm-report-export,ALL
rp-tenant-admin-user-create,role-tenant-admin,perm-user-create,ALL
rp-tenant-admin-user-read,role-tenant-admin,perm-user-read,ALL
rp-tenant-admin-user-update,role-tenant-admin,perm-user-update,ALL
rp-tenant-admin-user-delete,role-tenant-admin,perm-user-delete,ALL
rp-tenant-admin-user-approve,role-tenant-admin,perm-user-approve,ALL
rp-tenant-admin-user-reject,role-tenant-admin,perm-user-reject,ALL
rp-tenant-admin-branch-create,role-tenant-admin,perm-branch-create,ALL
rp-tenant-admin-branch-read,role-tenant-admin,perm-branch-read,ALL
rp-tenant-admin-branch-update,role-tenant-admin,perm-branch-update,ALL
rp-tenant-admin-branch-delete,role-tenant-admin,perm-branch-delete,ALL
rp-tenant-admin-tenant-read,role-tenant-admin,perm-tenant-read,ALL
rp-tenant-admin-tenant-update,role-tenant-admin,perm-tenant-update,ALL
rp-tenant-admin-tenant-configure,role-tenant-admin,perm-tenant-configure,ALL
rp-tenant-admin-permission-read,role-tenant-admin,perm-permission-read,ALL
rp-tenant-admin-permission-configure,role-tenant-admin,perm-permission-configure,ALL
rp-tenant-admin-session-read,role-tenant-admin,perm-session-read,ALL
rp-tenant-admin-session-delete,role-tenant-admin,perm-session-delete,ALL
rp-tenant-admin-audit-read,role-tenant-admin,perm-audit-read,ALL
rp-tenant-admin-audit-export,role-tenant-admin,perm-audit-export,ALL
rp-branch-manager-policy-read,role-branch-manager,perm-policy-read,BRANCH
rp-branch-manager-claim-read,role-branch-manager,perm-claim-read,BRANCH
rp-branch-manager-claim-approve,role-branch-manager,perm-claim-approve,BRANCH
rp-branch-manager-claim-reject,role-branch-manager,perm-claim-reject,BRANCH
rp-branch-manager-report-read,role-branch-manager,perm-report-read,BRANCH
rp-branch-manager-report-export,role-branch-manager,perm-report-export,BRANCH
rp-branch-manager-user-create,role-branch-manager,perm-user-create,BRANCH
rp-branch-manager-user-read,role-branch-manager,perm-user-read,BRANCH
rp-branch-manager-user-update,role-branch-manager,perm-user-update,BRANCH
rp-branch-manager-user-approve,role-branch-manager,perm-user-approve,BRANCH
rp-branch-manager-user-reject,role-branch-manager,perm-user-reject,BRANCH
rp-branch-manager-branch-read,role-branch-manager,perm-branch-read,BRANCH
rp-branch-manager-branch-update,role-branch-manager,perm-branch-update,BRANCH
rp-branch-manager-session-read,role-branch-manager,perm-session-read,BRANCH
rp-branch-manager-audit-read,role-branch-manager,perm-audit-read,BRANCH
rp-underwriter-policy-read,role-underwriter,perm-policy-read,BRANCH
rp-underwriter-policy-update,role-underwriter,perm-policy-update,BRANCH
rp-underwriter-policy-approve,role-underwriter,perm-policy-approve,BRANCH
rp-underwriter-policy-reject,role-underwriter,perm-policy-reject,BRANCH
rp-underwriter-claim-read,role-underwriter,perm-claim-read,BRANCH
rp-underwriter-report-read,role-underwriter,perm-report-read,BRANCH
rp-agent-policy-create,role-agent,perm-policy-create,BRANCH
rp-agent-policy-read,role-agent,perm-policy-read,OWN
rp-agent-policy-update,role-agent,perm-policy-update,OWN
rp-agent-claim-create,role-agent,perm-claim-create,BRANCH
rp-agent-claim-read,role-agent,perm-claim-read,OWN
rp-agent-report-read,role-agent,perm-report-read,OWN
rp-claims-adjuster-claim-read,role-claims-adjuster,perm-claim-read,BRANCH
rp-claims-adjuster-claim-update,role-claims-adjuster,perm-claim-update,BRANCH
rp-claims-adjuster-policy-read,role-claims-adjuster,perm-policy-read,BRANCH
rp-claims-adjuster-report-read,role-claims-adjuster,perm-report-read,BRANCH
rp-staff-policy-read,role-staff,perm-policy-read,BRANCH
rp-staff-claim-read,role-staff,perm-claim-read,BRANCH
rp-staff-report-read,role-staff,perm-report-read,OWN
rp-policyholder-policy-create,role-policyholder,perm-policy-create,OWN
rp-policyholder-policy-read,role-policyholder,perm-policy-read,OWN
rp-policyholder-claim-create,role-policyholder,perm-claim-create,OWN
rp-policyholder-claim-read,role-policyholder,perm-claim-read,OWN
rp-policyholder-report-read,role-policyholder,perm-report-read,OWN
rp-claimant-claim-create,role-claimant,perm-claim-create,OWN
rp-claimant-claim-read,role-claimant,perm-claim-read,OWN
rp-claimant-report-read,role-claimant,perm-report-read,OWN
rp-beneficiary-policy-read,role-beneficiary,perm-policy-read,OWN
rp-beneficiary-claim-read,role-beneficiary,perm-claim-read,OWN
rp-beneficiary-report-read,role-beneficiary,perm-report-read,OWN
